[16:03:53.862] [SEVERE ] setting player 1 freeze to 3905
[16:03:53.872] [SEVERE ] updating countdown to 13474
[16:03:53.873] [SEVERE ] setting player 1 freeze to 3894
[16:03:53.883] [SEVERE ] updating countdown to 13463
[16:03:53.884] [SEVERE ] setting player 1 freeze to 3883
[16:03:53.894] [SEVERE ] updating countdown to 13452
[16:03:53.895] [SEVERE ] setting player 1 freeze to 3872
[16:03:53.905] [SEVERE ] updating countdown to 13441
[16:03:53.906] [SEVERE ] setting player 1 freeze to 3861
[16:03:53.916] [SEVERE ] updating countdown to 13430
[16:03:53.917] [SEVERE ] setting player 1 freeze to 3850
[16:03:53.927] [SEVERE ] updating countdown to 13419
[16:03:53.927] [SEVERE ] setting player 1 freeze to 3840
[16:03:53.938] [SEVERE ] updating countdown to 13408
[16:03:53.938] [SEVERE ] setting player 1 freeze to 3829
[16:03:53.949] [SEVERE ] updating countdown to 13397
[16:03:53.949] [SEVERE ] setting player 1 freeze to 3818
[16:03:53.959] [SEVERE ] updating countdown to 13387
[16:03:53.960] [SEVERE ] setting player 1 freeze to 3807
[16:03:53.970] [SEVERE ] updating countdown to 13376
[16:03:53.971] [SEVERE ] setting player 1 freeze to 3796
[16:03:53.981] [SEVERE ] updating countdown to 13365
[16:03:53.981] [SEVERE ] setting player 1 freeze to 3786
[16:03:53.992] [SEVERE ] updating countdown to 13354
[16:03:53.992] [SEVERE ] setting player 1 freeze to 3775
[16:03:54.002] [SEVERE ] updating countdown to 13344
[16:03:54.003] [SEVERE ] setting player 1 freeze to 3764
[16:03:54.013] [SEVERE ] updating countdown to 13333
[16:03:54.013] [SEVERE ] setting player 1 freeze to 3754
[16:03:54.024] [SEVERE ] updating countdown to 13322
[16:03:54.024] [SEVERE ] setting player 1 freeze to 3743
[16:03:54.034] [SEVERE ] updating countdown to 13312
[16:03:54.035] [SEVERE ] setting player 1 freeze to 3732
[16:03:54.045] [SEVERE ] updating countdown to 13301
[16:03:54.046] [SEVERE ] setting player 1 freeze to 3721
[16:03:54.056] [SEVERE ] updating countdown to 13290
[16:03:54.057] [SEVERE ] setting player 1 freeze to 3710
[16:03:54.067] [SEVERE ] updating countdown to 13279
[16:03:54.068] [SEVERE ] setting player 1 freeze to 3699
[16:03:54.078] [SEVERE ] updating countdown to 13268
[16:03:54.079] [SEVERE ] setting player 1 freeze to 3688
[16:03:54.089] [SEVERE ] updating countdown to 13257
[16:03:54.090] [SEVERE ] setting player 1 freeze to 3677
[16:03:54.100] [SEVERE ] updating countdown to 13246
[16:03:54.100] [SEVERE ] setting player 1 freeze to 3667
[16:03:54.111] [SEVERE ] updating countdown to 13235
[16:03:54.111] [SEVERE ] setting player 1 freeze to 3656
[16:03:54.121] [SEVERE ] updating countdown to 13225
[16:03:54.122] [SEVERE ] setting player 1 freeze to 3645
[16:03:54.132] [SEVERE ] updating countdown to 13214
[16:03:54.132] [SEVERE ] setting player 1 freeze to 3635
[16:03:54.143] [SEVERE ] updating countdown to 13203
[16:03:54.143] [SEVERE ] setting player 1 freeze to 3624
[16:03:54.154] [SEVERE ] updating countdown to 13192
[16:03:54.154] [SEVERE ] setting player 1 freeze to 3613
[16:03:54.165] [SEVERE ] updating countdown to 13181
[16:03:54.165] [SEVERE ] setting player 1 freeze to 3602
[16:03:54.175] [SEVERE ] updating countdown to 13171
[16:03:54.175] [SEVERE ] setting player 1 freeze to 3592
[16:03:54.186] [SEVERE ] updating countdown to 13160
[16:03:54.186] [SEVERE ] setting player 1 freeze to 3581
[16:03:54.196] [SEVERE ] updating countdown to 13150
